"","mean_diff.FP_inflation.sign","var_diff.FP_inflation.sign","dp_diff.FP_inflation.sign","mult_diff.FP_inflation.sign","control.FDR..FP_inflation.sign","mean_diff.Loose.Power.sign","var_diff.Loose.Power.sign","dp_diff.Loose.Power.sign","mult_diff.Loose.Power.sign","control.FDR..Loose.Power.sign","mean_diff.strange.median.sign","var_diff.strange.median.sign","dp_diff.strange.median.sign","mult_diff.strange.median.sign","control.FDR..strange.median.sign","mean_diff.Total.sign","var_diff.Total.sign","dp_diff.Total.sign","mult_diff.Total.sign","control.FDR..Total.sign","mean_diff.FP_inflation.moderate","var_diff.FP_inflation.moderate","dp_diff.FP_inflation.moderate","mult_diff.FP_inflation.moderate","control.FDR..FP_inflation.moderate","mean_diff.Loose.Power.moderate","var_diff.Loose.Power.moderate","dp_diff.Loose.Power.moderate","mult_diff.Loose.Power.moderate","control.FDR..Loose.Power.moderate","mean_diff.strange.median.moderate","var_diff.strange.median.moderate","dp_diff.strange.median.moderate","mult_diff.strange.median.moderate","control.FDR..strange.median.moderate","mean_diff.Total.moderate","var_diff.Total.moderate","dp_diff.Total.moderate","mult_diff.Total.moderate","control.FDR..Total.moderate","mean_diff.FP_inflation.extreme","var_diff.FP_inflation.extreme","dp_diff.FP_inflation.extreme","mult_diff.FP_inflation.extreme","control.FDR..FP_inflation.extreme","mean_diff.Loose.Power.extreme","var_diff.Loose.Power.extreme","dp_diff.Loose.Power.extreme","mult_diff.Loose.Power.extreme","control.FDR..Loose.Power.extreme","mean_diff.strange.median.extreme","var_diff.strange.median.extreme","dp_diff.strange.median.extreme","mult_diff.strange.median.extreme","control.FDR..strange.median.extreme","mean_diff.Total.extreme","var_diff.Total.extreme","dp_diff.Total.extreme","mult_diff.Total.extreme","control.FDR..Total.extreme"
"DESeq",1,0.3125,0.75,0.1875,0,0,0,0,0,0,0.75,0,0.25,0.1875,0,1,0.3125,0.75,0.375,0,0.9375,0,0.3125,0,0,0,0,0,0,0,0.125,0,0,0,0,0.9375,0,0.3125,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"MAST",0.958333333333333,0.958333333333333,0.708333333333333,0.145833333333333,0.104166666666667,0,0,0,0.0625,0,0.583333333333333,0.541666666666667,0.145833333333333,0.0625,0,0.958333333333333,0.958333333333333,0.708333333333333,0.25,0.104166666666667,0.8125,0.791666666666667,0.375,0,0,0,0,0,0,0,0.208333333333333,0.125,0.0208333333333333,0,0,0.8125,0.791666666666667,0.375,0,0,0.25,0.229166666666667,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.229166666666667,0.0208333333333333,0,0
"jsd_empirical",0.625,0.270833333333333,0.1875,0.0208333333333333,0,0,0,0,0,0,0.166666666666667,0.104166666666667,0.0833333333333333,0.0416666666666667,0,0.625,0.291666666666667,0.229166666666667,0.0625,0,0.375,0.0625,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.0625,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klmean_empirical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_zinb",0.729166666666667,0.833333333333333,0.291666666666667,0,0,0,0,0,0.0833333333333333,0,0.270833333333333,0.416666666666667,0.166666666666667,0,0,0.729166666666667,0.854166666666667,0.333333333333333,0.0833333333333333,0,0.416666666666667,0.5625,0.0833333333333333,0,0,0,0,0,0,0,0.104166666666667,0.0416666666666667,0,0,0,0.416666666666667,0.5625,0.0833333333333333,0,0,0.0208333333333333,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.125,0,0,0
"klmean_zinb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_direct",0.875,0.8125,0.375,0,0,0,0,0,0.1875,0,0.5,0.458333333333333,0.125,0,0,0.875,0.833333333333333,0.395833333333333,0.1875,0,0.625,0.645833333333333,0.145833333333333,0,0,0,0,0,0,0,0.104166666666667,0.104166666666667,0.0208333333333333,0,0,0.625,0.645833333333333,0.145833333333333,0,0,0.0833333333333333,0.104166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.104166666666667,0,0,0
"klmean_direct",1,0.979166666666667,0.6875,0,0,0.145833333333333,0.479166666666667,0.1875,0.291666666666667,0,0.833333333333333,0.791666666666667,0.333333333333333,0.0833333333333333,0,1,0.979166666666667,0.6875,0.3125,0,0.9375,0.75,0.4375,0,0,0,0.1875,0,0.0416666666666667,0,0.645833333333333,0.583333333333333,0.229166666666667,0,0,0.9375,0.75,0.4375,0.0416666666666667,0,0.5,0.3125,0.104166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3125,0.104166666666667,0,0
