"","mean_diff.FP_inflation.sign","var_diff.FP_inflation.sign","dp_diff.FP_inflation.sign","mult_diff.FP_inflation.sign","control.FDR..FP_inflation.sign","mean_diff.Loose.Power.sign","var_diff.Loose.Power.sign","dp_diff.Loose.Power.sign","mult_diff.Loose.Power.sign","control.FDR..Loose.Power.sign","mean_diff.strange.median.sign","var_diff.strange.median.sign","dp_diff.strange.median.sign","mult_diff.strange.median.sign","control.FDR..strange.median.sign","mean_diff.Total.sign","var_diff.Total.sign","dp_diff.Total.sign","mult_diff.Total.sign","control.FDR..Total.sign","mean_diff.FP_inflation.moderate","var_diff.FP_inflation.moderate","dp_diff.FP_inflation.moderate","mult_diff.FP_inflation.moderate","control.FDR..FP_inflation.moderate","mean_diff.Loose.Power.moderate","var_diff.Loose.Power.moderate","dp_diff.Loose.Power.moderate","mult_diff.Loose.Power.moderate","control.FDR..Loose.Power.moderate","mean_diff.strange.median.moderate","var_diff.strange.median.moderate","dp_diff.strange.median.moderate","mult_diff.strange.median.moderate","control.FDR..strange.median.moderate","mean_diff.Total.moderate","var_diff.Total.moderate","dp_diff.Total.moderate","mult_diff.Total.moderate","control.FDR..Total.moderate","mean_diff.FP_inflation.extreme","var_diff.FP_inflation.extreme","dp_diff.FP_inflation.extreme","mult_diff.FP_inflation.extreme","control.FDR..FP_inflation.extreme","mean_diff.Loose.Power.extreme","var_diff.Loose.Power.extreme","dp_diff.Loose.Power.extreme","mult_diff.Loose.Power.extreme","control.FDR..Loose.Power.extreme","mean_diff.strange.median.extreme","var_diff.strange.median.extreme","dp_diff.strange.median.extreme","mult_diff.strange.median.extreme","control.FDR..strange.median.extreme","mean_diff.Total.extreme","var_diff.Total.extreme","dp_diff.Total.extreme","mult_diff.Total.extreme","control.FDR..Total.extreme"
"DESeq",0.95,0.25,0.9,0.2,0.05,0,0,0,0,0,0.75,0.05,0.6,0.05,0,0.95,0.3,0.9,0.25,0.05,0.9,0,0.75,0,0,0,0,0,0,0,0.55,0,0.45,0,0,0.9,0,0.75,0,0,0.65,0,0.5,0,0,0,0,0,0,0,0.3,0,0,0,0,0.65,0,0.5,0,0
"MAST",0.833333333333333,0.958333333333333,0.625,0.25,0.166666666666667,0,0,0,0.0833333333333333,0,0.416666666666667,0.541666666666667,0.125,0.0416666666666667,0,0.833333333333333,0.958333333333333,0.625,0.375,0.166666666666667,0.625,0.833333333333333,0.25,0,0,0,0,0,0,0,0.0833333333333333,0.208333333333333,0,0,0,0.625,0.833333333333333,0.25,0,0,0.125,0.208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.208333333333333,0,0,0
"jsd_empirical",0.638888888888889,0.333333333333333,0.361111111111111,0,0,0,0,0,0,0,0.277777777777778,0.111111111111111,0.138888888888889,0.0277777777777778,0,0.666666666666667,0.388888888888889,0.388888888888889,0.0277777777777778,0,0.388888888888889,0.0833333333333333,0.166666666666667,0,0,0,0,0,0,0,0.138888888888889,0,0,0,0,0.388888888888889,0.0833333333333333,0.166666666666667,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0
"klmean_empirical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_zinb",0.8,0.8,0.633333333333333,0,0,0,0,0.0166666666666667,0.0666666666666667,0,0.616666666666667,0.383333333333333,0.516666666666667,0.0333333333333333,0,0.8,0.816666666666667,0.7,0.1,0,0.683333333333333,0.516666666666667,0.516666666666667,0,0,0,0,0,0,0,0.5,0.0666666666666667,0.316666666666667,0,0,0.683333333333333,0.516666666666667,0.516666666666667,0,0,0.5,0.0666666666666667,0.316666666666667,0,0,0,0,0,0,0,0.133333333333333,0,0,0,0,0.5,0.0666666666666667,0.316666666666667,0,0
"klmean_zinb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_direct",0.833333333333333,0.895833333333333,0.645833333333333,0,0,0,0,0,0.208333333333333,0,0.625,0.479166666666667,0.416666666666667,0.0208333333333333,0,0.833333333333333,0.916666666666667,0.645833333333333,0.229166666666667,0,0.6875,0.583333333333333,0.479166666666667,0,0,0,0,0,0,0,0.4375,0.125,0.208333333333333,0,0,0.6875,0.583333333333333,0.479166666666667,0,0,0.458333333333333,0.0416666666666667,0.25,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0.458333333333333,0.0416666666666667,0.25,0,0
"klmean_direct",0.934782608695652,0.978260869565217,0.869565217391304,0,0,0.108695652173913,0.456521739130435,0.173913043478261,0.239130434782609,0,0.847826086956522,0.760869565217391,0.630434782608696,0.108695652173913,0,0.934782608695652,0.978260869565217,0.869565217391304,0.282608695652174,0,0.891304347826087,0.782608695652174,0.717391304347826,0,0,0.0217391304347826,0.260869565217391,0,0,0,0.717391304347826,0.5,0.41304347826087,0,0,0.891304347826087,0.782608695652174,0.717391304347826,0,0,0.630434782608696,0.282608695652174,0.304347826086957,0,0,0,0,0,0,0,0.0434782608695652,0,0,0,0,0.630434782608696,0.282608695652174,0.304347826086957,0,0
