"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"DESeq",0.56,0,0.22,0.57,0.33,0,0.01,0.33,0.05,0,0,0.05
"MAST",0.639285714285714,0.00714285714285714,0.314285714285714,0.653571428571429,0.428571428571429,0,0.0714285714285714,0.428571428571429,0.107142857142857,0,0,0.107142857142857
"jsd_empirical",0.253333333333333,0.06,0.13,0.353333333333333,0.08,0.03,0,0.11,0,0,0,0
"klmean_empirical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_zinb",0.385964912280702,0.0771929824561404,0.196491228070175,0.473684210526316,0.221052631578947,0.0526315789473684,0.0245614035087719,0.273684210526316,0.0280701754385965,0.0175438596491228,0,0.0456140350877193
"klmean_zinb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_direct",0.436666666666667,0.116666666666667,0.29,0.56,0.28,0.0866666666666667,0.0866666666666667,0.366666666666667,0.0333333333333333,0.0433333333333333,0,0.0766666666666667
"klmean_direct",0.57,0.266666666666667,0.57,0.7,0.46,0.13,0.323333333333333,0.553333333333333,0.156666666666667,0.0433333333333333,0,0.2
