"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"mean_diff",0.883720930232558,0.0398671096345515,0.558139534883721,0.887043189368771,0.697674418604651,0,0.20265780730897,0.697674418604651,0.215946843853821,0,0,0.215946843853821
"var_diff",0.687707641196013,0.0465116279069767,0.508305647840532,0.697674418604651,0.524916943521595,0.0199335548172757,0.365448504983389,0.524916943521595,0.352159468438538,0,0.0398671096345515,0.352159468438538
"dp_diff",0.654485049833887,0.0431893687707641,0.269102990033223,0.681063122923588,0.318936877076412,0.00664451827242525,0.0465116279069767,0.318936877076412,0.00332225913621262,0,0,0.00332225913621262
"mult_diff",0.0631229235880399,0.119601328903654,0.0697674418604651,0.232558139534884,0,0.00332225913621262,0,0.00332225913621262,0,0,0,0
"control(FDR)",0.0199335548172757,0,0,0.0199335548172757,0,0,0,0,0,0,0,0
