"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"DESeq",0.47,0,0.29,0.49,0.33,0,0.2,0.33,0.23,0,0.06,0.23
"MAST",0.566666666666667,0.0166666666666667,0.225,0.591666666666667,0.341666666666667,0,0.0583333333333333,0.341666666666667,0.0666666666666667,0,0,0.0666666666666667
"jsd_empirical",0.266666666666667,0,0.111111111111111,0.294444444444444,0.127777777777778,0,0.0277777777777778,0.127777777777778,0.0222222222222222,0,0,0.0222222222222222
"klmean_empirical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_zinb",0.446666666666667,0.0166666666666667,0.31,0.483333333333333,0.343333333333333,0,0.176666666666667,0.343333333333333,0.176666666666667,0,0.0266666666666667,0.176666666666667
"klmean_zinb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_direct",0.475,0.0416666666666667,0.308333333333333,0.525,0.35,0,0.154166666666667,0.35,0.15,0,0.00833333333333333,0.15
"klmean_direct",0.556521739130435,0.195652173913043,0.469565217391304,0.61304347826087,0.478260869565217,0.0565217391304348,0.326086956521739,0.478260869565217,0.243478260869565,0,0.00869565217391304,0.243478260869565
