"","mean_diff.FP_inflation.sign","var_diff.FP_inflation.sign","dp_diff.FP_inflation.sign","mult_diff.FP_inflation.sign","control.FDR..FP_inflation.sign","mean_diff.Loose.Power.sign","var_diff.Loose.Power.sign","dp_diff.Loose.Power.sign","mult_diff.Loose.Power.sign","control.FDR..Loose.Power.sign","mean_diff.strange.median.sign","var_diff.strange.median.sign","dp_diff.strange.median.sign","mult_diff.strange.median.sign","control.FDR..strange.median.sign","mean_diff.Total.sign","var_diff.Total.sign","dp_diff.Total.sign","mult_diff.Total.sign","control.FDR..Total.sign","mean_diff.FP_inflation.moderate","var_diff.FP_inflation.moderate","dp_diff.FP_inflation.moderate","mult_diff.FP_inflation.moderate","control.FDR..FP_inflation.moderate","mean_diff.Loose.Power.moderate","var_diff.Loose.Power.moderate","dp_diff.Loose.Power.moderate","mult_diff.Loose.Power.moderate","control.FDR..Loose.Power.moderate","mean_diff.strange.median.moderate","var_diff.strange.median.moderate","dp_diff.strange.median.moderate","mult_diff.strange.median.moderate","control.FDR..strange.median.moderate","mean_diff.Total.moderate","var_diff.Total.moderate","dp_diff.Total.moderate","mult_diff.Total.moderate","control.FDR..Total.moderate","mean_diff.FP_inflation.extreme","var_diff.FP_inflation.extreme","dp_diff.FP_inflation.extreme","mult_diff.FP_inflation.extreme","control.FDR..FP_inflation.extreme","mean_diff.Loose.Power.extreme","var_diff.Loose.Power.extreme","dp_diff.Loose.Power.extreme","mult_diff.Loose.Power.extreme","control.FDR..Loose.Power.extreme","mean_diff.strange.median.extreme","var_diff.strange.median.extreme","dp_diff.strange.median.extreme","mult_diff.strange.median.extreme","control.FDR..strange.median.extreme","mean_diff.Total.extreme","var_diff.Total.extreme","dp_diff.Total.extreme","mult_diff.Total.extreme","control.FDR..Total.extreme"
"DESeq",1,0.35,1,0.25,0,0,0,0,0,0,0.75,0.05,0.3,0.15,0,1,0.35,1,0.4,0,0.95,0,0.45,0,0,0,0,0,0,0,0.15,0,0,0,0,0.95,0,0.45,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"MAST",1,0.864864864864865,0.918918918918919,0.0810810810810811,0.162162162162162,0,0,0,0.0540540540540541,0,0.756756756756757,0.594594594594595,0.324324324324324,0.0540540540540541,0,1,0.864864864864865,0.918918918918919,0.189189189189189,0.162162162162162,0.891891891891892,0.702702702702703,0.621621621621622,0,0,0,0,0,0,0,0.243243243243243,0.378378378378378,0.027027027027027,0,0,0.891891891891892,0.702702702702703,0.621621621621622,0,0,0.378378378378378,0.405405405405405,0,0,0,0,0,0,0,0,0,0.0810810810810811,0,0,0,0.378378378378378,0.405405405405405,0,0,0
"jsd_empirical",0.638888888888889,0.416666666666667,0.194444444444444,0,0,0,0,0,0,0,0.111111111111111,0.166666666666667,0.138888888888889,0.0555555555555556,0,0.638888888888889,0.444444444444444,0.277777777777778,0.0555555555555556,0,0.361111111111111,0.194444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361111111111111,0.194444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klmean_empirical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_zinb",0.733333333333333,0.816666666666667,0.35,0.0166666666666667,0,0,0,0,0.05,0,0.3,0.633333333333333,0.116666666666667,0.0166666666666667,0,0.75,0.816666666666667,0.4,0.0833333333333333,0,0.433333333333333,0.7,0.0666666666666667,0,0,0,0,0,0,0,0.0333333333333333,0.5,0,0,0,0.433333333333333,0.7,0.0666666666666667,0,0,0.0333333333333333,0.55,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0.0333333333333333,0.55,0,0,0
"klmean_zinb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_direct",0.875,0.729166666666667,0.520833333333333,0,0,0,0,0,0.229166666666667,0,0.458333333333333,0.604166666666667,0.0833333333333333,0.0416666666666667,0,0.875,0.729166666666667,0.520833333333333,0.25,0,0.604166666666667,0.666666666666667,0.0625,0,0,0,0,0,0.0208333333333333,0,0.0833333333333333,0.458333333333333,0,0,0,0.604166666666667,0.666666666666667,0.0625,0.0208333333333333,0,0.0833333333333333,0.4375,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0.0833333333333333,0.4375,0,0,0
"klmean_direct",1,0.916666666666667,0.833333333333333,0,0,0.2,0.233333333333333,0.216666666666667,0.333333333333333,0,0.85,0.916666666666667,0.583333333333333,0.0833333333333333,0,1,0.95,0.866666666666667,0.333333333333333,0,0.866666666666667,0.85,0.65,0,0,0,0.1,0.0333333333333333,0,0,0.616666666666667,0.733333333333333,0.216666666666667,0,0,0.866666666666667,0.85,0.65,0,0,0.5,0.616666666666667,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.616666666666667,0.0166666666666667,0,0
