"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"DESeq",0.45,0,0.2375,0.4875,0.25,0,0.025,0.25,0.05,0,0,0.05
"MAST",0.575,0.0125,0.266666666666667,0.595833333333333,0.395833333333333,0,0.0708333333333333,0.395833333333333,0.1,0,0,0.1
"jsd_empirical",0.220833333333333,0,0.0791666666666667,0.241666666666667,0.104166666666667,0,0,0.104166666666667,0,0,0,0
"klmean_empirical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_zinb",0.370833333333333,0.0166666666666667,0.170833333333333,0.4,0.2125,0,0.0291666666666667,0.2125,0.0291666666666667,0,0,0.0291666666666667
"klmean_zinb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_direct",0.4125,0.0375,0.216666666666667,0.458333333333333,0.283333333333333,0,0.0458333333333333,0.283333333333333,0.0375,0,0,0.0375
"klmean_direct",0.533333333333333,0.220833333333333,0.408333333333333,0.595833333333333,0.425,0.0458333333333333,0.291666666666667,0.433333333333333,0.183333333333333,0,0,0.183333333333333
