"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"mean_diff",0.864583333333333,0.0243055555555556,0.517361111111111,0.864583333333333,0.684027777777778,0,0.197916666666667,0.684027777777778,0.184027777777778,0,0,0.184027777777778
"var_diff",0.694444444444444,0.0798611111111111,0.385416666666667,0.704861111111111,0.46875,0.03125,0.142361111111111,0.46875,0.128472222222222,0,0,0.128472222222222
"dp_diff",0.5,0.03125,0.184027777777778,0.517361111111111,0.239583333333333,0,0.0451388888888889,0.239583333333333,0.0208333333333333,0,0,0.0208333333333333
"mult_diff",0.0590277777777778,0.104166666666667,0.0625,0.211805555555556,0,0.00694444444444444,0,0.00694444444444444,0,0,0,0
"control(FDR)",0.0173611111111111,0,0,0.0173611111111111,0,0,0,0,0,0,0,0
