"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"mean_diff",0.861189801699717,0.0198300283286119,0.543909348441926,0.861189801699717,0.694050991501416,0,0.172804532577904,0.694050991501416,0.195467422096317,0,0,0.195467422096317
"var_diff",0.688385269121813,0.0764872521246459,0.39943342776204,0.711048158640227,0.458923512747875,0.028328611898017,0.15014164305949,0.458923512747875,0.113314447592068,0,0,0.113314447592068
"dp_diff",0.654390934844193,0.0254957507082153,0.254957507082153,0.674220963172805,0.325779036827195,0.0028328611898017,0.028328611898017,0.325779036827195,0.0028328611898017,0,0,0.0028328611898017
"mult_diff",0.138810198300283,0.322946175637394,0.237960339943343,0.487252124645892,0.0169971671388102,0.220963172804533,0.0821529745042493,0.237960339943343,0,0.0878186968838527,0,0.0878186968838527
"control(FDR)",0.0226628895184136,0,0,0.0226628895184136,0,0,0,0,0,0,0,0
