"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"DESeq",0.52,0,0.25,0.55,0.28,0,0.03,0.28,0.05,0,0,0.05
"MAST",0.605405405405405,0.0108108108108108,0.345945945945946,0.627027027027027,0.443243243243243,0,0.12972972972973,0.443243243243243,0.156756756756757,0,0.0162162162162162,0.156756756756757
"jsd_empirical",0.25,0,0.0944444444444444,0.283333333333333,0.111111111111111,0,0,0.111111111111111,0,0,0,0
"klmean_empirical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_zinb",0.383333333333333,0.01,0.213333333333333,0.41,0.24,0,0.106666666666667,0.24,0.116666666666667,0,0.0166666666666667,0.116666666666667
"klmean_zinb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_direct",0.425,0.0458333333333333,0.2375,0.475,0.266666666666667,0.00416666666666667,0.108333333333333,0.270833333333333,0.104166666666667,0,0.0166666666666667,0.104166666666667
"klmean_direct",0.55,0.196666666666667,0.486666666666667,0.63,0.473333333333333,0.0266666666666667,0.313333333333333,0.473333333333333,0.226666666666667,0,0,0.226666666666667
