"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"mean_diff",0.843065693430657,0.0182481751824818,0.624087591240876,0.846715328467153,0.722627737226277,0.00364963503649635,0.452554744525547,0.722627737226277,0.463503649635036,0,0.109489051094891,0.463503649635036
"var_diff",0.678832116788321,0.0766423357664234,0.368613138686131,0.704379562043796,0.430656934306569,0.0437956204379562,0.138686131386861,0.430656934306569,0.0875912408759124,0,0,0.0875912408759124
"dp_diff",0.697080291970803,0.0328467153284672,0.452554744525547,0.715328467153285,0.525547445255474,0,0.273722627737226,0.525547445255474,0.273722627737226,0,0,0.273722627737226
"mult_diff",0.0656934306569343,0.0985401459854015,0.0474452554744526,0.200729927007299,0,0,0,0,0,0,0,0
"control(FDR)",0.0255474452554745,0,0,0.0255474452554745,0,0,0,0,0,0,0,0
