"","mean_diff.FP_inflation.sign","var_diff.FP_inflation.sign","dp_diff.FP_inflation.sign","mult_diff.FP_inflation.sign","control.FDR..FP_inflation.sign","mean_diff.Loose.Power.sign","var_diff.Loose.Power.sign","dp_diff.Loose.Power.sign","mult_diff.Loose.Power.sign","control.FDR..Loose.Power.sign","mean_diff.strange.median.sign","var_diff.strange.median.sign","dp_diff.strange.median.sign","mult_diff.strange.median.sign","control.FDR..strange.median.sign","mean_diff.Total.sign","var_diff.Total.sign","dp_diff.Total.sign","mult_diff.Total.sign","control.FDR..Total.sign","mean_diff.FP_inflation.moderate","var_diff.FP_inflation.moderate","dp_diff.FP_inflation.moderate","mult_diff.FP_inflation.moderate","control.FDR..FP_inflation.moderate","mean_diff.Loose.Power.moderate","var_diff.Loose.Power.moderate","dp_diff.Loose.Power.moderate","mult_diff.Loose.Power.moderate","control.FDR..Loose.Power.moderate","mean_diff.strange.median.moderate","var_diff.strange.median.moderate","dp_diff.strange.median.moderate","mult_diff.strange.median.moderate","control.FDR..strange.median.moderate","mean_diff.Total.moderate","var_diff.Total.moderate","dp_diff.Total.moderate","mult_diff.Total.moderate","control.FDR..Total.moderate","mean_diff.FP_inflation.extreme","var_diff.FP_inflation.extreme","dp_diff.FP_inflation.extreme","mult_diff.FP_inflation.extreme","control.FDR..FP_inflation.extreme","mean_diff.Loose.Power.extreme","var_diff.Loose.Power.extreme","dp_diff.Loose.Power.extreme","mult_diff.Loose.Power.extreme","control.FDR..Loose.Power.extreme","mean_diff.strange.median.extreme","var_diff.strange.median.extreme","dp_diff.strange.median.extreme","mult_diff.strange.median.extreme","control.FDR..strange.median.extreme","mean_diff.Total.extreme","var_diff.Total.extreme","dp_diff.Total.extreme","mult_diff.Total.extreme","control.FDR..Total.extreme"
"DESeq",1,0.3,1,0.5,0,0,0,0,0,0,0.75,0,0.3,0.05,0,1,0.3,1,0.55,0,0.95,0,0.6,0.1,0,0,0,0,0,0,0.05,0,0,0,0,0.95,0,0.6,0.1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"MAST",0.964285714285714,0.964285714285714,0.857142857142857,0.267857142857143,0.142857142857143,0,0,0,0.0357142857142857,0,0.660714285714286,0.571428571428571,0.321428571428571,0.0178571428571429,0,0.964285714285714,0.982142857142857,0.857142857142857,0.321428571428571,0.142857142857143,0.892857142857143,0.803571428571429,0.446428571428571,0,0,0,0,0,0,0,0.214285714285714,0.142857142857143,0,0,0,0.892857142857143,0.803571428571429,0.446428571428571,0,0,0.285714285714286,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0.25,0,0,0
"jsd_empirical",0.633333333333333,0.3,0.3,0.0333333333333333,0,0,0,0,0.3,0,0.2,0.15,0.0833333333333333,0.216666666666667,0,0.633333333333333,0.383333333333333,0.35,0.4,0,0.316666666666667,0.0666666666666667,0.0166666666666667,0,0,0,0,0,0.15,0,0,0,0,0,0,0.316666666666667,0.0666666666666667,0.0166666666666667,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klmean_empirical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_zinb",0.736842105263158,0.824561403508772,0.368421052631579,0,0,0,0,0,0.385964912280702,0,0.280701754385965,0.385964912280702,0.105263157894737,0.210526315789474,0,0.736842105263158,0.842105263157895,0.385964912280702,0.403508771929825,0,0.473684210526316,0.56140350877193,0.0701754385964912,0,0,0,0,0,0.263157894736842,0,0,0.0526315789473684,0,0.0701754385964912,0,0.473684210526316,0.56140350877193,0.0701754385964912,0.263157894736842,0,0.0175438596491228,0.12280701754386,0,0,0,0,0,0,0.087719298245614,0,0,0,0,0,0,0.0175438596491228,0.12280701754386,0,0.087719298245614,0
"klmean_zinb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jsd_direct",0.833333333333333,0.816666666666667,0.533333333333333,0,0,0,0,0,0.583333333333333,0,0.5,0.45,0.116666666666667,0.383333333333333,0,0.833333333333333,0.816666666666667,0.566666666666667,0.583333333333333,0,0.6,0.6,0.2,0,0,0,0,0,0.433333333333333,0,0.133333333333333,0.15,0,0.15,0,0.6,0.6,0.2,0.433333333333333,0,0.116666666666667,0.05,0,0,0,0,0,0,0.216666666666667,0,0,0,0,0,0,0.116666666666667,0.05,0,0.216666666666667,0
"klmean_direct",1,0.95,0.866666666666667,0.0333333333333333,0,0.116666666666667,0.45,0.15,0.616666666666667,0,0.866666666666667,0.85,0.6,0.533333333333333,0,1,0.966666666666667,0.883333333333333,0.65,0,0.933333333333333,0.75,0.616666666666667,0,0,0,0.166666666666667,0.0166666666666667,0.466666666666667,0,0.633333333333333,0.55,0.166666666666667,0.266666666666667,0,0.933333333333333,0.75,0.616666666666667,0.466666666666667,0,0.5,0.266666666666667,0.0166666666666667,0,0,0,0,0,0.216666666666667,0,0,0,0,0,0,0.5,0.266666666666667,0.0166666666666667,0.216666666666667,0
