# source: https://www.genenames.org/cgi-bin/genefamilies/set/1054
# https://www.genenames.org/cgi-bin/genefamilies/set/1054/download/branch
HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
10336	RPL32	ribosomal protein L32	Approved		L32	3p25.2	CA436299, CF124158, CR608027	NM_000994	RPL	L ribosomal proteins	729
10340	RPL34	ribosomal protein L34	Approved		L34	4q25	AB007181	NM_033625, NM_000995	RPL	L ribosomal proteins	729
10344	RPL35	ribosomal protein L35	Approved		L35	9q33.3	U12465	NM_007209	RPL	L ribosomal proteins	729
10345	RPL35A	ribosomal protein L35a	Approved		L35A, eL33, GIG33	3q29	X52966	NM_000996	RPL	L ribosomal proteins	729
13631	RPL36	ribosomal protein L36	Approved		DKFZp566B023, L36	19p13.2		NM_015414	RPL	L ribosomal proteins	729
10359	RPL36A	ribosomal protein L36a	Approved	RPL44	L36A	Xq22.1	BC001781	NM_021029	RPL	L ribosomal proteins	729
10346	RPL36AL	ribosomal protein L36a like	Approved	RPL36A		14q21.3	BC000741		RPL	L ribosomal proteins	729
10347	RPL37	ribosomal protein L37	Approved		L37	5p13.1	L11567	NM_000997	RPL	L ribosomal proteins	729
10348	RPL37A	ribosomal protein L37a	Approved		L37A	2q35		NM_000998	RPL	L ribosomal proteins	729
10349	RPL38	ribosomal protein L38	Approved		L38	17q25.1	AB007185	NM_000999	RPL	L ribosomal proteins	729
10350	RPL39	ribosomal protein L39	Approved	RPL39P42	L39	Xq24		NM_001000	RPL	L ribosomal proteins	729
17094	RPL39L	ribosomal protein L39 like	Approved	RPL39L1		3q27.3	BC012328	NM_052969	RPL	L ribosomal proteins	729
10351	RPL3L	ribosomal protein L3 like	Approved			16p13.3	U65581	NM_005061	RPL	L ribosomal proteins	729
10353	RPL4	ribosomal protein L4	Approved		L4	15q22.31	AB007167	NM_000968	RPL	L ribosomal proteins	729
12458	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	Approved		RPL40, CEP52, HUBCEP52, MGC57125, MGC126879, MGC126881, L40	19p13.1-p12		NM_003333	RPL	L ribosomal proteins	729
10354	RPL41	ribosomal protein L41	Approved		L41	12q13	AB007186		RPL	L ribosomal proteins	729
10360	RPL5	ribosomal protein L5	Approved		L5, PPP1R135, uL18	1p22.1	U14966	NM_000969	RPL	L ribosomal proteins	729
10362	RPL6	ribosomal protein L6	Approved	TXREB1	TAXREB107, L6	12q24.13	X69391		RPL	L ribosomal proteins	729
10363	RPL7	ribosomal protein L7	Approved		humL7-1, L7	8q21.11	L16557	NM_000971	RPL	L ribosomal proteins	729
10364	RPL7A	ribosomal protein L7a	Approved		SURF3, TRUP, L7A	9q34.2	BC005128	NM_000972	RPL	L ribosomal proteins	729
21370	RPL7L1	ribosomal protein L7 like 1	Approved		dJ475N16.4	6p21.1		XM_209769	RPL	L ribosomal proteins	729
10368	RPL8	ribosomal protein L8	Approved		L8	8q24.3	Z28407	NM_000973	RPL	L ribosomal proteins	729
10369	RPL9	ribosomal protein L9	Approved		L9	4p14	D14531		RPL	L ribosomal proteins	729
10371	RPLP0	ribosomal protein lateral stalk subunit P0	Approved		PRLP0, P0, L10E, RPP0, LP0	12q24.23	AB007187	NM_053275	RPL	L ribosomal proteins	729
10372	RPLP1	ribosomal protein lateral stalk subunit P1	Approved		LP1	15q23		NM_001003	RPL	L ribosomal proteins	729
10377	RPLP2	ribosomal protein lateral stalk subunit P2	Approved	D11S2243E	P2, RPP2, MGC71408, LP2	11p15.5	M17887	NM_001004	RPL	L ribosomal proteins	729
14275	MRPL1	mitochondrial ribosomal protein L1	Approved		BM022	4q21.1	AB049474	NM_020236	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14055	MRPL10	mitochondrial ribosomal protein L10	Approved		RPML8, MRP-L8, L10MT, MRP-L10, MRPL8, MGC17973	17q21.32	AB051618	NM_145255	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14042	MRPL11	mitochondrial ribosomal protein L11	Approved			11q13.2	AB051338	NM_016050	MRPL, MRPS	Mitochondrial ribosomal proteins	646
10378	MRPL12	mitochondrial ribosomal protein L12	Approved	RPML12	MRPL7/L12, MRPL7	17q25.3	X79865	NM_002949	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14278	MRPL13	mitochondrial ribosomal protein L13	Approved		L13, RPL13, L13mt, RPML13, L13A	8q24.12	AB049640	NM_014078	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14279	MRPL14	mitochondrial ribosomal protein L14	Approved		RPML32, MRP-L32	6p21.1	AB051339	NM_032111	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14054	MRPL15	mitochondrial ribosomal protein L15	Approved		RPML7, MRP-L7, HSPC145, L15mt, MRP-L15	8q11.23	AB051619	NM_014175	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14476	MRPL16	mitochondrial ribosomal protein L16	Approved		FLJ20484, PNAS-111	11q12.1	AF183428	NM_017840	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14053	MRPL17	mitochondrial ribosomal protein L17	Approved		RPML26, MRP-L26	11p15.5-p15.4	AB051620	NM_022061	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14477	MRPL18	mitochondrial ribosomal protein L18	Approved		HSPC071	6q25.3	AF161556		MRPL, MRPS	Mitochondrial ribosomal proteins	646
14052	MRPL19	mitochondrial ribosomal protein L19	Approved		MRP-L15, RPML15, KIAA0104, RLX1	2p12	AB051621	NM_014763	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14056	MRPL2	mitochondrial ribosomal protein L2	Approved		MRP-L14, RPML14, CGI-22	6p21.1	AB051617		MRPL, MRPS	Mitochondrial ribosomal proteins	646
