"","mean_diff.FP_inflation.sign","var_diff.FP_inflation.sign","disp_diff.FP_inflation.sign","mult_diff.FP_inflation.sign","control.FDR..FP_inflation.sign","mean_diff.Loose.Power.sign","var_diff.Loose.Power.sign","disp_diff.Loose.Power.sign","mult_diff.Loose.Power.sign","control.FDR..Loose.Power.sign","mean_diff.strange.median.sign","var_diff.strange.median.sign","disp_diff.strange.median.sign","mult_diff.strange.median.sign","control.FDR..strange.median.sign","mean_diff.Total.sign","var_diff.Total.sign","disp_diff.Total.sign","mult_diff.Total.sign","control.FDR..Total.sign","mean_diff.FP_inflation.moderate","var_diff.FP_inflation.moderate","disp_diff.FP_inflation.moderate","mult_diff.FP_inflation.moderate","control.FDR..FP_inflation.moderate","mean_diff.Loose.Power.moderate","var_diff.Loose.Power.moderate","disp_diff.Loose.Power.moderate","mult_diff.Loose.Power.moderate","control.FDR..Loose.Power.moderate","mean_diff.strange.median.moderate","var_diff.strange.median.moderate","disp_diff.strange.median.moderate","mult_diff.strange.median.moderate","control.FDR..strange.median.moderate","mean_diff.Total.moderate","var_diff.Total.moderate","disp_diff.Total.moderate","mult_diff.Total.moderate","control.FDR..Total.moderate","mean_diff.FP_inflation.extreme","var_diff.FP_inflation.extreme","disp_diff.FP_inflation.extreme","mult_diff.FP_inflation.extreme","control.FDR..FP_inflation.extreme","mean_diff.Loose.Power.extreme","var_diff.Loose.Power.extreme","disp_diff.Loose.Power.extreme","mult_diff.Loose.Power.extreme","control.FDR..Loose.Power.extreme","mean_diff.strange.median.extreme","var_diff.strange.median.extreme","disp_diff.strange.median.extreme","mult_diff.strange.median.extreme","control.FDR..strange.median.extreme","mean_diff.Total.extreme","var_diff.Total.extreme","disp_diff.Total.extreme","mult_diff.Total.extreme","control.FDR..Total.extreme"
"DESeq",0.3,0.15,0.2,0.4,0.15,0.1,0.4,0.1,0.15,0,0.25,0.1,0.1,0.15,0.05,0.5,0.55,0.35,0.6,0.15,0.2,0.15,0.15,0.15,0.15,0,0,0,0,0,0.2,0,0,0,0,0.25,0.15,0.15,0.15,0.15,0.15,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.15,0.05,0,0,0.05
"MAST",0.31,0.36,0.35,0.38,0.36,0.12,0.1,0.13,0.11,0.05,0.17,0.14,0.1,0.09,0.05,0.47,0.48,0.5,0.5,0.41,0.22,0.19,0.19,0.25,0.18,0.04,0,0.02,0.02,0,0.05,0.01,0.02,0.02,0,0.26,0.19,0.21,0.27,0.18,0.06,0.06,0.05,0.05,0.04,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.05,0.05,0.04
"jsd_empirical",0.22,0.16,0.18,0.2,0.15,0.15,0.15,0.17,0.18,0.06,0.2,0.14,0.05,0.11,0,0.5,0.41,0.36,0.43,0.2,0.12,0.04,0.05,0.1,0.04,0.01,0,0.02,0.02,0.01,0.04,0,0,0,0,0.13,0.04,0.07,0.12,0.05,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.02,0
"klmean_empirical",0.16,0.22,0.21,0.26,0.21,0.24,0.14,0.19,0.16,0.08,0.13,0.05,0.09,0.13,0.01,0.45,0.33,0.38,0.44,0.27,0.09,0.09,0.11,0.09,0.1,0.01,0.02,0,0.01,0,0.02,0,0,0,0,0.1,0.11,0.11,0.1,0.1,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0
"jsd_zinb",0.16,0.18,0.17,0.18,0.14,0.18,0.23,0.22,0.2,0.1,0.19,0.09,0.16,0.12,0.08,0.44,0.43,0.48,0.44,0.27,0.09,0.1,0.07,0.06,0.08,0.01,0.02,0.04,0.02,0.02,0.01,0,0,0,0,0.11,0.12,0.11,0.08,0.1,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0
"klmean_zinb",0.23,0.28,0.28,0.23,0.26,0.23,0.18,0.17,0.13,0.15,0.19,0.19,0.19,0.23,0.08,0.52,0.56,0.52,0.47,0.45,0.1,0.14,0.12,0.11,0.12,0.01,0.04,0.04,0.01,0.02,0.03,0.01,0.01,0.03,0.01,0.13,0.19,0.17,0.14,0.15,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.02
"jsd_direct",0.29,0.27,0.23,0.3,0.25,0.2,0.26,0.28,0.24,0.26,0.57,0.48,0.55,0.39,0.56,0.75,0.72,0.8,0.67,0.76,0.22,0.2,0.18,0.25,0.16,0.14,0.17,0.15,0.14,0.17,0.21,0.17,0.21,0.1,0.17,0.42,0.47,0.46,0.43,0.42,0.12,0.07,0.06,0.08,0.07,0.04,0.03,0.02,0.03,0.02,0.02,0,0,0,0,0.18,0.1,0.08,0.11,0.09
"klmean_direct",0.16,0.22,0.21,0.22,0.19,0.22,0.28,0.22,0.23,0.23,0.55,0.53,0.54,0.53,0.48,0.72,0.75,0.72,0.7,0.7,0.14,0.18,0.18,0.18,0.17,0.14,0.12,0.12,0.12,0.1,0.26,0.24,0.23,0.25,0.21,0.46,0.46,0.43,0.48,0.4,0.05,0.07,0.08,0.07,0.08,0.02,0.01,0.01,0,0.01,0.05,0.06,0.05,0.05,0.04,0.12,0.14,0.14,0.12,0.13
