"","mean_diff.FP_inflation.sign","var_diff.FP_inflation.sign","disp_diff.FP_inflation.sign","mult_diff.FP_inflation.sign","control.FDR..FP_inflation.sign","mean_diff.Loose.Power.sign","var_diff.Loose.Power.sign","disp_diff.Loose.Power.sign","mult_diff.Loose.Power.sign","control.FDR..Loose.Power.sign","mean_diff.strange.median.sign","var_diff.strange.median.sign","disp_diff.strange.median.sign","mult_diff.strange.median.sign","control.FDR..strange.median.sign","mean_diff.Total.sign","var_diff.Total.sign","disp_diff.Total.sign","mult_diff.Total.sign","control.FDR..Total.sign","mean_diff.FP_inflation.moderate","var_diff.FP_inflation.moderate","disp_diff.FP_inflation.moderate","mult_diff.FP_inflation.moderate","control.FDR..FP_inflation.moderate","mean_diff.Loose.Power.moderate","var_diff.Loose.Power.moderate","disp_diff.Loose.Power.moderate","mult_diff.Loose.Power.moderate","control.FDR..Loose.Power.moderate","mean_diff.strange.median.moderate","var_diff.strange.median.moderate","disp_diff.strange.median.moderate","mult_diff.strange.median.moderate","control.FDR..strange.median.moderate","mean_diff.Total.moderate","var_diff.Total.moderate","disp_diff.Total.moderate","mult_diff.Total.moderate","control.FDR..Total.moderate","mean_diff.FP_inflation.extreme","var_diff.FP_inflation.extreme","disp_diff.FP_inflation.extreme","mult_diff.FP_inflation.extreme","control.FDR..FP_inflation.extreme","mean_diff.Loose.Power.extreme","var_diff.Loose.Power.extreme","disp_diff.Loose.Power.extreme","mult_diff.Loose.Power.extreme","control.FDR..Loose.Power.extreme","mean_diff.strange.median.extreme","var_diff.strange.median.extreme","disp_diff.strange.median.extreme","mult_diff.strange.median.extreme","control.FDR..strange.median.extreme","mean_diff.Total.extreme","var_diff.Total.extreme","disp_diff.Total.extreme","mult_diff.Total.extreme","control.FDR..Total.extreme"
"DESeq",0.2,0.25,0.25,0.35,0.2,0.05,0.1,0,0.15,0.05,0.1,0.05,0.05,0.15,0.05,0.3,0.3,0.3,0.5,0.25,0.1,0.25,0.15,0.15,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.25,0.15,0.15,0.1,0.05,0.05,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0.05
"MAST",0.29,0.31,0.27,0.37,0.24,0.13,0.18,0.17,0.15,0.08,0.11,0.16,0.04,0.07,0.01,0.45,0.5,0.44,0.53,0.32,0.15,0.17,0.1,0.21,0.11,0,0.02,0.01,0.01,0,0.01,0.06,0.01,0.01,0,0.15,0.19,0.11,0.22,0.11,0.03,0.08,0.01,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0.03,0.08,0.01,0.03,0.01
"jsd_empirical",0.2,0.16,0.18,0.21,0.18,0.13,0.11,0.15,0.17,0.05,0.1,0.1,0.09,0.15,0.03,0.38,0.31,0.34,0.44,0.23,0.09,0.08,0.07,0.08,0.06,0,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0,0.01,0.09,0.09,0.08,0.1,0.07,0.04,0.02,0.04,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.04,0.03,0.04
"klmean_empirical",0.19,0.22,0.26,0.26,0.18,0.18,0.13,0.13,0.13,0.06,0.08,0.12,0.07,0.06,0.03,0.37,0.35,0.38,0.39,0.2,0.08,0.05,0.1,0.08,0.08,0.02,0.01,0.02,0.01,0.01,0,0,0,0,0,0.1,0.05,0.11,0.09,0.09,0.02,0.01,0.02,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.02,0.01,0.02
"jsd_zinb",0.2,0.24,0.17,0.21,0.17,0.22,0.3,0.26,0.18,0.11,0.13,0.18,0.19,0.1,0.1,0.45,0.53,0.5,0.43,0.31,0.09,0.14,0.11,0.11,0.1,0.02,0.02,0.02,0.04,0.01,0.01,0.02,0,0,0,0.11,0.16,0.13,0.15,0.11,0.02,0.04,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.02,0.02,0.02
"klmean_zinb",0.3,0.25,0.25,0.22,0.24,0.2,0.24,0.2,0.24,0.13,0.2,0.13,0.13,0.19,0.04,0.55,0.54,0.49,0.52,0.39,0.14,0.11,0.13,0.17,0.14,0.02,0.05,0.05,0.02,0.02,0,0.03,0.02,0.01,0.01,0.16,0.16,0.18,0.2,0.16,0.01,0.03,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.01,0.02,0.01
"jsd_direct",0.31,0.29,0.35,0.33,0.34,0.26,0.2,0.2,0.26,0.24,0.56,0.57,0.69,0.47,0.6,0.8,0.74,0.82,0.75,0.76,0.27,0.26,0.3,0.22,0.28,0.13,0.09,0.15,0.1,0.14,0.22,0.2,0.23,0.13,0.2,0.52,0.45,0.56,0.39,0.53,0.11,0.1,0.11,0.08,0.11,0.02,0.03,0.03,0.02,0.02,0,0,0,0,0,0.13,0.13,0.14,0.1,0.13
"klmean_direct",0.27,0.2,0.23,0.27,0.27,0.39,0.3,0.34,0.34,0.34,0.46,0.49,0.53,0.4,0.4,0.72,0.72,0.75,0.71,0.69,0.24,0.17,0.2,0.21,0.21,0.24,0.15,0.23,0.24,0.21,0.12,0.14,0.09,0.11,0.1,0.52,0.41,0.45,0.49,0.45,0.05,0.05,0.07,0.04,0.05,0.02,0.06,0.07,0.02,0.04,0,0.01,0.01,0,0,0.07,0.12,0.15,0.06,0.09
