"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"mean_diff",0.24625,0.1775,0.2125,0.505,0.15125,0.0425,0.04375,0.215,0.04375,0.01,0.0025,0.05625
"var_diff",0.25125,0.1925,0.2275,0.5175,0.1525,0.04375,0.04,0.2175,0.035,0.00875,0.00125,0.045
"disp_diff",0.24375,0.18375,0.24125,0.52875,0.16125,0.05375,0.05125,0.23875,0.03875,0.0075,0.00375,0.05
"mult_diff",0.27,0.18375,0.23,0.52875,0.15,0.045,0.0275,0.2075,0.03375,0.005,0,0.03875
"control(FDR)",0.225,0.12,0.1725,0.38625,0.14375,0.04125,0.035,0.2025,0.04375,0.00875,0.00125,0.05375
