"","mean_diff.FP_inflation.sign","var_diff.FP_inflation.sign","disp_diff.FP_inflation.sign","mult_diff.FP_inflation.sign","control.FDR..FP_inflation.sign","mean_diff.Loose.Power.sign","var_diff.Loose.Power.sign","disp_diff.Loose.Power.sign","mult_diff.Loose.Power.sign","control.FDR..Loose.Power.sign","mean_diff.strange.median.sign","var_diff.strange.median.sign","disp_diff.strange.median.sign","mult_diff.strange.median.sign","control.FDR..strange.median.sign","mean_diff.Total.sign","var_diff.Total.sign","disp_diff.Total.sign","mult_diff.Total.sign","control.FDR..Total.sign","mean_diff.FP_inflation.moderate","var_diff.FP_inflation.moderate","disp_diff.FP_inflation.moderate","mult_diff.FP_inflation.moderate","control.FDR..FP_inflation.moderate","mean_diff.Loose.Power.moderate","var_diff.Loose.Power.moderate","disp_diff.Loose.Power.moderate","mult_diff.Loose.Power.moderate","control.FDR..Loose.Power.moderate","mean_diff.strange.median.moderate","var_diff.strange.median.moderate","disp_diff.strange.median.moderate","mult_diff.strange.median.moderate","control.FDR..strange.median.moderate","mean_diff.Total.moderate","var_diff.Total.moderate","disp_diff.Total.moderate","mult_diff.Total.moderate","control.FDR..Total.moderate","mean_diff.FP_inflation.extreme","var_diff.FP_inflation.extreme","disp_diff.FP_inflation.extreme","mult_diff.FP_inflation.extreme","control.FDR..FP_inflation.extreme","mean_diff.Loose.Power.extreme","var_diff.Loose.Power.extreme","disp_diff.Loose.Power.extreme","mult_diff.Loose.Power.extreme","control.FDR..Loose.Power.extreme","mean_diff.strange.median.extreme","var_diff.strange.median.extreme","disp_diff.strange.median.extreme","mult_diff.strange.median.extreme","control.FDR..strange.median.extreme","mean_diff.Total.extreme","var_diff.Total.extreme","disp_diff.Total.extreme","mult_diff.Total.extreme","control.FDR..Total.extreme"
"DESeq",0.25,0.2,0.2,0.3,0.2,0.15,0.15,0.15,0.25,0,0.1,0.1,0.1,0.1,0,0.45,0.4,0.45,0.55,0.2,0.1,0.15,0.15,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0.1,0.15,0.15,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAST",0.37,0.35,0.34,0.42,0.33,0.08,0.12,0.12,0.07,0.09,0.13,0.15,0.14,0.13,0.05,0.46,0.49,0.48,0.49,0.42,0.24,0.24,0.24,0.31,0.21,0,0.01,0.01,0.02,0,0.01,0,0.02,0.01,0,0.24,0.25,0.26,0.33,0.21,0.08,0.05,0.04,0.07,0.06,0,0,0,0,0,0,0,0,0,0,0.08,0.05,0.04,0.07,0.06
"jsd_empirical",0.2,0.2,0.19,0.2,0.16,0.1,0.1,0.13,0.17,0.03,0.1,0.07,0.07,0.1,0.02,0.37,0.34,0.36,0.42,0.19,0.08,0.06,0.06,0.08,0.06,0,0,0.02,0.01,0.01,0,0,0,0,0,0.08,0.06,0.08,0.09,0.07,0.03,0.02,0.03,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0.03,0.01,0.03
"klmean_empirical",0.17,0.19,0.17,0.24,0.16,0.18,0.2,0.17,0.12,0.08,0.08,0.11,0.13,0.16,0.03,0.35,0.39,0.41,0.42,0.23,0.05,0.05,0.09,0.06,0.06,0,0.01,0,0.01,0,0,0,0,0.01,0,0.05,0.06,0.09,0.07,0.06,0.01,0,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0.01,0.01
"jsd_zinb",0.22,0.19,0.22,0.23,0.19,0.18,0.24,0.2,0.15,0.13,0.17,0.18,0.2,0.15,0.1,0.47,0.48,0.52,0.43,0.32,0.14,0.14,0.16,0.11,0.14,0.01,0.02,0.03,0.03,0.02,0,0,0,0,0,0.15,0.16,0.19,0.14,0.16,0.01,0,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.02,0.01
"klmean_zinb",0.23,0.27,0.25,0.21,0.2,0.23,0.24,0.21,0.2,0.13,0.15,0.22,0.21,0.24,0.13,0.5,0.58,0.52,0.48,0.35,0.14,0.17,0.15,0.16,0.14,0.02,0.04,0.04,0.01,0.03,0,0.01,0.04,0.01,0,0.16,0.21,0.2,0.18,0.17,0.03,0.05,0.05,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0.03,0.05,0.05,0.03,0.04
"jsd_direct",0.3,0.36,0.34,0.31,0.33,0.24,0.26,0.24,0.26,0.24,0.52,0.56,0.61,0.5,0.61,0.75,0.79,0.81,0.73,0.72,0.28,0.23,0.24,0.2,0.21,0.15,0.12,0.17,0.14,0.14,0.18,0.16,0.21,0.08,0.13,0.5,0.42,0.5,0.37,0.4,0.12,0.1,0.09,0.08,0.12,0.04,0.03,0.04,0.02,0.04,0,0,0,0,0,0.16,0.13,0.13,0.1,0.16
"klmean_direct",0.23,0.25,0.24,0.25,0.23,0.26,0.23,0.25,0.25,0.26,0.45,0.43,0.47,0.46,0.44,0.69,0.67,0.68,0.71,0.66,0.18,0.18,0.2,0.18,0.18,0.16,0.15,0.16,0.14,0.13,0.16,0.15,0.14,0.11,0.15,0.44,0.43,0.44,0.38,0.4,0.07,0.06,0.07,0.05,0.08,0.04,0.04,0.02,0.02,0.03,0.02,0.01,0.03,0,0.01,0.13,0.11,0.12,0.07,0.12
