"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"DESeq",0.25,0.07,0.08,0.33,0.15,0,0,0.15,0.04,0,0,0.04
"MAST",0.296,0.142,0.078,0.448,0.148,0.008,0.018,0.156,0.032,0,0,0.032
"jsd_empirical",0.186,0.122,0.094,0.34,0.076,0.01,0.01,0.086,0.034,0,0,0.034
"klmean_empirical",0.222,0.126,0.072,0.338,0.078,0.014,0,0.088,0.016,0,0,0.016
"jsd_zinb",0.198,0.214,0.14,0.444,0.11,0.022,0.006,0.132,0.024,0,0,0.024
"klmean_zinb",0.252,0.202,0.138,0.498,0.138,0.032,0.014,0.172,0.016,0,0,0.016
"jsd_direct",0.324,0.232,0.578,0.774,0.266,0.122,0.196,0.49,0.102,0.024,0,0.126
"klmean_direct",0.248,0.342,0.456,0.718,0.206,0.214,0.112,0.464,0.052,0.042,0.004,0.098
