Input Sample,Astro,Exc,Inh,Micro,Oligo,OPC,P-value,Pearson Correlation,RMSE
MSSM_RNA_BP_PFC_10,0.074303027992424,0.41542236749549,0.077591996353448,0,0.43268260815864,0,0.006,0.2823583787560289,1.048479464847864
MSSM_RNA_BP_PFC_11,0.13247500205472,0.27774626126996,0.1469431217938,0,0.44283561488153,0,0.007,0.2387215508995048,1.065338313225355
MSSM_RNA_BP_PFC_12,0.031831926951362,0.61384442499314,0.192172421082,0,0.16215122697349,0,0.007,0.23733080194062303,1.0867957940507829
MSSM_RNA_BP_PFC_13,0,0.57717405557318,0.074485332129949,0,0.34834061229687,0,0.01,0.21820075522017723,1.1056760834569952
MSSM_RNA_BP_PFC_14,0.058451422938987,0.46129807384962,0.18363446965605,0,0.29661603355534,0,0.023,0.1427641500635557,1.1229196748261896
MSSM_RNA_BP_PFC_15,0.033636772780153,0.31697364144137,0.076761925810587,0,0.57262765996789,0,0.002,0.38205659366128186,1.0033162757398275
MSSM_RNA_BP_PFC_16,0.0763380965591,0.23162574008529,0,0,0.69203616335561,0,0.004,0.3326789613340211,1.0773857922290637
MSSM_RNA_BP_PFC_17,0.058086842453294,0.5869576483604,0.1295559585713,0,0.22539955061501,0,0.015,0.18886536866050896,1.1098045362871614
MSSM_RNA_BP_PFC_18,0.049257787790822,0.33952946981527,0.18334036796612,0,0.42787237442778,0,0.005,0.30162030340441826,1.028594472035713
MSSM_RNA_BP_PFC_19,0.060937074020799,0.48631121078919,0,0,0.45275171519001,0,0.006,0.26972191002342727,1.0719735663346879
MSSM_RNA_BP_PFC_2,0.082562250325408,0.51384717069162,0.050944601082368,0,0.35264597790061,0,0.01,0.21907017474210608,1.0887358916078969
MSSM_RNA_BP_PFC_20,0.13979438637019,0.27689120534051,0.10512831136795,0,0.47818609692135,0,0.005,0.29943762396229057,1.0338739075800216
MSSM_RNA_BP_PFC_23,0.032359259608687,0.31215891929327,0.16790987279092,0,0.48757194830713,0,0.004,0.322602511111197,1.0251337315071443
MSSM_RNA_BP_PFC_24,0.10022371276799,0.51958347859599,0.039407961009137,0,0.34078484762688,0,0.015,0.18842760669969397,1.1069999641289747
MSSM_RNA_BP_PFC_4,0,0.32939897653296,0.1731354850814,0,0.49746553838564,0,0.005,0.3037801070965853,1.044811404318323
MSSM_RNA_BP_PFC_5,0.085542536982605,0.51175734610656,0.020903815007702,0,0.38179630190313,0,0.035,0.12455163022937842,1.153672392070574
MSSM_RNA_BP_PFC_6,0.10279115058636,0.54355284649475,0.096630045795182,0,0.25702595712371,0,0.007,0.25259581329998726,1.0605013638035248
MSSM_RNA_BP_PFC_7,0.0030816653879073,0.18251247121312,0.029620452169177,0,0.78478541122979,0,0.013,0.20670644655728354,1.2193650317463058
MSSM_RNA_BP_PFC_8,0.027521133691017,0.47169338094253,0.093031600046069,0,0.40775388532038,0,0.047,0.11119217537159531,1.1640476179755985
MSSM_RNA_BP_PFC_9,0.027276646264501,0.69606788660786,0.1317226146592,0,0.14493285246843,0,0.016,0.16932943243530907,1.148358684500634
MSSM_RNA_PFC_1,0.031101423587517,0.048130805116621,0.02709510206301,0,0.89367266923285,0,0.002,0.37856526177563604,1.1308130943675947
MSSM_RNA_PFC_10,0.068215634713029,0.13643998288825,0.029046294491932,0,0.76629808790679,0,0.002,0.4246774507446887,1.0267406101321412
MSSM_RNA_PFC_100,0.017758661546002,0.16893016976103,0,0,0.81331116869296,0,0.013,0.2003575489837675,1.2394606404317494
MSSM_RNA_PFC_101,0.078092338307007,0.37447659941781,0.14879450622389,0,0.3986365560513,0,0.007,0.24084805013034083,1.064493696757405
MSSM_RNA_PFC_102,0.074623411394001,0.33015445319747,0,0,0.59522213540852,0,0.002,0.43358960272293573,0.969551989406641
MSSM_RNA_PFC_106,0.030535873512635,0.25197630492474,0,0,0.71748782156262,0,0.004,0.3162404684197379,1.1040387781396024
MSSM_RNA_PFC_108,0.025791941163413,0.47030693043937,0,0,0.50390112839721,0,0.047,0.11128413581786174,1.191959913514295
MSSM_RNA_PFC_109,0.12821322646295,0.48136690644436,0.030624716241484,0,0.3597951508512,0,0.025,0.134676153046823,1.1373353017389982
MSSM_RNA_PFC_11,0.039836781524414,0.23011472817782,0.18617060113382,0,0.54387788916394,0,0.004,0.31300023590301546,1.0400870362770085
MSSM_RNA_PFC_110,0.099987100540502,0.459631236143,0.044884505953897,0,0.3954971573626,0,0.007,0.24841236541784337,1.0688220283088248
MSSM_RNA_PFC_111,0.048980720195816,0.3210653034065,0,0,0.62995397639768,0,0.007,0.24736913042327655,1.12451135671593
MSSM_RNA_PFC_112,0.0412154780547,0.55375518879551,0.19520362743308,0,0.20982570571671,0,0.013,0.19883776722931276,1.1000500179837813
MSSM_RNA_PFC_113,0,0.3002897569796,0.046078742909043,0,0.65363150011136,0,0.005,0.3045287916469872,1.0913087158850667
MSSM_RNA_PFC_114,0.038854802328592,0.34506989557338,0,0,0.61607530209803,0,0.009,0.22179491699565287,1.1403312028626065
MSSM_RNA_PFC_116,0.27620903196755,0.28735276506443,0.010381452696212,0,0.42605675027181,0,0.017,0.16219998885699588,1.1256378226832482
MSSM_RNA_PFC_117,0.041929357166494,0.21777830507707,0.015804079479762,0,0.72448825827667,0,0.006,0.25726361100949163,1.1500740064939725
MSSM_RNA_PFC_118,0,0.46579143356668,0.032082916904388,0,0.50212564952893,0,0.035,0.12586866481021775,1.1831790949729528
MSSM_RNA_PFC_119,0.08932257582496,0.54002103952797,0.062561931323169,0,0.3080944533239,0,0.005,0.3034249591835616,1.0309384595763607
MSSM_RNA_PFC_12,0.048209419687655,0.41612701851404,0.050623400694247,0,0.48504016110406,0,0.023,0.1422237982867929,1.1552168594249914
MSSM_RNA_PFC_120,0.054329012462823,0.29796870397536,0.073509377241533,0,0.57419290632028,0,0.002,0.37345510343753824,1.0080434161343739
MSSM_RNA_PFC_121,0.056608471568286,0.42416253428402,0.033829962250027,0,0.48539903189767,0,0.006,0.26993728088743213,1.071328364645379
MSSM_RNA_PFC_122,0.19799826417272,0.43537581443411,0,0,0.36662592139317,0,0.027,0.1312084689675798,1.1379738058836983
MSSM_RNA_PFC_123,0.20916748977075,0.2327434205784,0.027366726295904,0,0.53072236335495,0,0.007,0.24310760618349822,1.0891835113009396
MSSM_RNA_PFC_124,0.10590994743961,0.36960732928867,0,0,0.52448272327173,0,0.003,0.3657029578299461,1.0066614124909146
MSSM_RNA_PFC_125,0.030895038507313,0.58239695793526,0.090803416448311,0,0.29590458710912,0,0.013,0.20140190909353864,1.1078347860835926
MSSM_RNA_PFC_126,0.09059972603987,0.38881521013233,0.17313975385906,0,0.34744530996874,0,0.008,0.23247628996727993,1.0628932514144354
MSSM_RNA_PFC_127,0.1053330722734,0.32263745204568,0.060073852807885,0,0.51195562287304,0,0.007,0.23500770202472107,1.0898801574548962
MSSM_RNA_PFC_128,0.084623743431621,0.33425504285292,0.0094896744046183,0,0.57163153931084,0,0.006,0.2806273201089543,1.0792298111311034
MSSM_RNA_PFC_129,0.03786883676414,0.30389390636674,0.042573214529328,0,0.61566404233979,0,0.006,0.27255756564956335,1.098598285215781
MSSM_RNA_PFC_13,0.066582694855631,0.50983327446918,0.0066160552557994,0,0.41696797541939,0,0.063,0.10148069710597937,1.176752931784011
MSSM_RNA_PFC_130,0.017512939262991,0.53489069841845,0.0067492486340935,0,0.44084711368447,0,0.004,0.3406648872524966,1.0281384355767509
MSSM_RNA_PFC_131,0.058211469186672,0.36824891939018,0.065626970555955,0,0.5079126408672,0,0.013,0.20058883543957146,1.1173555748798594
MSSM_RNA_PFC_132,0.025223534601664,0.37398310335402,0,0,0.60079336204431,0,0.008,0.2313506987907831,1.1316265825502605
MSSM_RNA_PFC_133,0.15938293665081,0,0,0,0.84061706334919,0,0.002,0.40752805478934934,1.0793042263871278
MSSM_RNA_PFC_134,0.053570710042553,0.42904979565024,0.083881739341294,0.0004,0.43311119169954,0,0.027,0.13090737567784524,1.149126424573728
MSSM_RNA_PFC_135,0.11966463967156,0.51021173460588,0.023992422630325,0,0.34613120309223,0,0.007,0.23673857642233553,1.0753904012896427
MSSM_RNA_PFC_136,0.044005471642859,0.51279577977271,0.057483387238002,0,0.38571536134643,0,0.006,0.2659798944243164,1.0649999363713636
MSSM_RNA_PFC_137,0.11711733482602,0.47951115584962,0.1106077357236,0,0.29276377360076,0,0.03,0.12835986776337652,1.1302663688901913
MSSM_RNA_PFC_139,0.27488170186668,0,0,0.040218600697801,0.68489969743552,0,0.015,0.1782573812216028,1.1986696671348498
MSSM_RNA_PFC_140,0.061808915045813,0.61901827221147,0.041469097430749,0.049250613889326,0.22845310142264,0,0.015,0.19374458115556065,1.1085714575756136
MSSM_RNA_PFC_141,0.066419553599686,0.70639077343126,0.085099788659822,0,0.14208988430924,0,0.039,0.11924682841993663,1.1787068968251484
MSSM_RNA_PFC_142,0.083390643691873,0.49732795592903,0,0,0.41928140037909,0,0.005,0.30303522047575876,1.0424670855911664
