Gene	Cluster
CBLN2	Ex1
ENC1	Ex1
AC011288.2	Ex1
TESPA1	Ex1
RP11-314P15.2	Ex1
LRRTM4	Ex1
LINC01378	Ex1
PDZD2	Ex1
FAM19A1	Ex1
HS6ST3	Ex1
LINC00507	Ex1
LINC01250	Ex1
DGKB	Ex1
RP11-191L9.4	Ex1
HPCAL1	Ex1
MLIP	Ex1
R3HDM1	Ex1
RGS6	Ex1
NGEF	Ex1
LDB2	Ex1
CHRM3	Ex1
SORBS2	Ex1
NRGN	Ex1
ADGRL2	Ex1
CUX2	Ex1
CAMK2N1	Ex1
KCNIP4	Ex1
CAMK2A	Ex1
ARPP19	Ex1
SERPINE2	Ex1
CACNG3	Ex1
CHN1	Ex1
PCDH7	Ex1
KCTD16	Ex1
ST6GALNAC5	Ex1
ATRNL1	Ex1
KALRN	Ex1
PHACTR1	Ex1
ERICH1-AS1	Ex1
LINC01122	Ex1
KCNQ5	Ex1
ASIC2	Ex1
ATP2B1	Ex1
FLRT2	Ex1
AC007563.5	Ex1
PRKCB	Ex1
NDST3	Ex1
MAST3	Ex1
CAMKK1	Ex1
MEG3	Ex1
GPC6	Ex1
HOMER1	Ex1
DLGAP1-AS4	Ex1
KIAA1211L	Ex1
LRFN5	Ex1
CDH12	Ex1
KCTD1	Ex1
BAIAP2	Ex1
NELL1	Ex1
LY86-AS1	Ex1
IQCJ-SCHIP1	Ex1
CREG2	Ex1
CAMKV	Ex1
TMEM178B	Ex1
SHISA9	Ex1
PDE7B	Ex1
NECAB1	Ex1
SYN3	Ex1
DLGAP2	Ex1
ITPR1	Ex1
RFTN1	Ex1
CELF2	Ex1
NWD2	Ex1
AQP4-AS1	Ex1
SIPA1L1	Ex1
FAM153B	Ex1
PLCB1	Ex1
LINGO2	Ex1
PVRL3	Ex1
CDH22	Ex1
VSNL1	Ex1
CDH9	Ex1
EPB41L2	Ex1
GRIA2	Ex1
RASGRF2	Ex1
BICC1	Ex1
MIR137HG	Ex1
TMEM132D	Ex1
FSTL4	Ex1
MKL2	Ex1
WASF1	Ex1
TANC2	Ex1
MIAT	Ex1
CABP1	Ex1
DIAPH2	Ex1
OLFM1	Ex1
SLC6A7	Ex1
GULP1	Ex1
CACNA1E	Ex1
SATB2	Ex1
MEIS2	Ex1
NTRK3	Ex1
PPFIA2	Ex1
PDE8B	Ex1
NLK	Ex1
GRIA4	Ex1
PLEKHA5	Ex1
AGBL4	Ex1
PPP3CA	Ex1
FAT3	Ex1
PDE4D	Ex1
GABRB3	Ex1
TMEM132B	Ex1
RBFOX1	Ex1
CACNA2D3	Ex1
SLIT3	Ex1
KCNH1	Ex1
PTK2B	Ex1
CSMD1	Ex1
CACNA2D1	Ex1
KCNMA1	Ex1
RAPGEF5	Ex1
GRM5	Ex1
SV2B	Ex1
DAB1	Ex1
STXBP5L	Ex1
MTUS2	Ex1
KHDRBS2	Ex1
LRRC7	Ex1
KIRREL3	Ex1
RGS7	Ex1
CNTNAP5	Ex1
TENM2	Ex1
MGAT4C	Ex1
SLIT2	Ex1
CDH13	Ex1
ARPP21	Ex1
DGCR5	Ex1
DLG2	Ex1
SLC8A1	Ex1
GRM7	Ex1
DLGAP1	Ex1
GRIN2A	Ex1
FAM19A2	Ex1
EML6	Ex1
SCN3B	Ex1
PTPRO	Ex1
BTBD9	Ex1
EPHA6	Ex1
FBXW7	Ex1
CACNA1B	Ex1
CSMD3	Ex1
MAP3K5	Ex1
MAN1A1	Ex1
ROCK2	Ex1
DCLK1	Ex1
AK5	Ex1
KCNH3	Ex1
GRIN2B	Ex1
CHD5	Ex1
GNAL	Ex1
GRIA3	Ex1
SLC17A7	Ex1
PPP2R2C	Ex1
TMEM108	Ex1
KIAA1549L	Ex1
DOK6	Ex1
SORBS1	Ex1
PRICKLE1	Ex1
RFX3	Ex1
CHSY3	Ex1
ARHGAP32	Ex1
NPTN	Ex1
ACTN1	Ex1
CNKSR2	Ex1
LMO3	Ex1
PAK3	Ex1
SORCS1	Ex1
SEZ6L	Ex1
GALNT18	Ex1
CACNA1C	Ex1
SLC2A13	Ex1
TMEM59L	Ex1
SLC35F3	Ex1
NELL2	Ex1
CAMK1D	Ex1
CAMK2B	Ex1
CSGALNACT1	Ex1
SLC4A10	Ex1
HECW1	Ex1
CTDSPL	Ex1
PPFIBP1	Ex1
BRINP2	Ex1
GUCY1A2	Ex1
GABBR2	Ex1
KCNB1	Ex1
PCSK2	Ex1
CYP46A1	Ex1
RTN4	Ex1
PI4KA	Ex1
NIN	Ex1
NCDN	Ex1
PDE2A	Ex1
SLC22A10	Ex1
SLF1	Ex1
PHYHIP	Ex1
TRIM9	Ex1
MED12L	Ex1
AHI1	Ex1
CELF5	Ex1
MPP6	Ex1
LMO4	Ex1
CAMKK2	Ex1
NPTXR	Ex1
NIPAL2	Ex1
LRRTM3	Ex1
ARHGAP26	Ex1
LRFN2	Ex1
CHL1	Ex1
MAP2	Ex1
MAPK4	Ex1
NFAT5	Ex1
PTPRN2	Ex1
PPM1L	Ex1
GRIN1	Ex1
THY1	Ex1
AC091878.1	Ex1
CAP2	Ex1
EPHA4	Ex1
RP11-707M1.1	Ex1
TSC22D1	Ex1
ABI2	Ex1
SNED1	Ex1
RP11-123M6.2	Ex1
CNTN3	Ex1
PRKAR2B	Ex1
FRRS1L	Ex1
ARHGEF7	Ex1
USP25	Ex1
ADCY1	Ex1
ZNF804B	Ex1
RASAL2	Ex1
RAPGEF2	Ex1
PAK1	Ex1
RPS6KC1	Ex1
RP5-1187M17.10	Ex1
SYBU	Ex1
WDR17	Ex1
SUSD4	Ex1
THRB	Ex1
ANKRD30BL	Ex1
GABRA2	Ex1
ABLIM2	Ex1
HSPH1	Ex1
PLXNA2	Ex1
NEDD4L	Ex1
NDFIP2	Ex1
SGCD	Ex1
LONRF2	Ex1
RGS4	Ex1
CDK5R1	Ex1
CCDC30	Ex1
MAPK1	Ex1
NEK10	Ex1
CIT	Ex1
DCAF6	Ex1
DCLK2	Ex1
TRERF1	Ex1
EFNA5	Ex1
ARNT2	Ex1
LRRC8B	Ex1
ZNF365	Ex1
BCL11A	Ex1
MYH10	Ex1
DPY19L2P1	Ex1
SCAI	Ex1
YWHAH	Ex1
SHANK2	Ex1
GOLGA8A	Ex1
KSR2	Ex1
KCNJ6	Ex1
SUGP2	Ex1
NPTX1	Ex1
VGLL4	Ex1
ST8SIA3	Ex1
TSPYL1	Ex1
KCNB2	Ex1
TMEM232	Ex1
TLK1	Ex1
TARBP1	Ex1
ST8SIA5	Ex1
DYNC2H1	Ex1
RAD9A	Ex1
PLEKHA6	Ex1
DGKZ	Ex1
KIFC2	Ex1
PKNOX2	Ex1
NETO1	Ex1
GOLGA8B	Ex1
RUNDC3A	Ex1
TOMM20	Ex1
SHC3	Ex1
RPL31	Ex1
KCNT1	Ex1
CACNG8	Ex1
KCNIP4	Ex2
CNTNAP2	Ex2
PTPRD	Ex2
COL5A2	Ex2
DPP10	Ex2
IQCJ-SCHIP1	Ex2
AJ006998.2	Ex2
FAM19A1	Ex2
PTPRT	Ex2
LRRTM4	Ex2
LDB2	Ex2
KHDRBS2	Ex2
UNC5D	Ex2
ST6GALNAC5	Ex2
SNTG1	Ex2
RP11-420N3.3	Ex2
GRM7	Ex2
ADGRB3	Ex2
DCC	Ex2
AGBL4	Ex2
CSMD1	Ex2
PTPRK	Ex2
AC011288.2	Ex2
RGS7	Ex2
