"","X5k.FP_inflation.sign","X3k10.FP_inflation.sign","X5k.Loose.Power.sign","X3k10.Loose.Power.sign","X5k.strange.median.sign","X3k10.strange.median.sign","X5k.any.sign","X3k10.any.sign","X5k.FP_inflation.moderate","X3k10.FP_inflation.moderate","X5k.Loose.Power.moderate","X3k10.Loose.Power.moderate","X5k.strange.median.moderate","X3k10.strange.median.moderate","X5k.any.moderate","X3k10.any.moderate","X5k.FP_inflation.extreme","X3k10.FP_inflation.extreme","X5k.Loose.Power.extreme","X3k10.Loose.Power.extreme","X5k.strange.median.extreme","X3k10.strange.median.extreme","X5k.any.extreme","X3k10.any.extreme"
"DESeq",0.0588235294117647,0.0196078431372549,0,0.00980392156862745,0.666666666666667,0.666666666666667,0.725490196078431,0.696078431372549,0.0196078431372549,0.00980392156862745,0,0,0.666666666666667,0.666666666666667,0.686274509803922,0.676470588235294,0,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"MAST",0.166666666666667,0.0882352941176471,0.0588235294117647,0.0490196078431373,0.745098039215686,0.784313725490196,0.892156862745098,0.882352941176471,0.127450980392157,0.0490196078431373,0.00980392156862745,0.0196078431372549,0.676470588235294,0.774509803921569,0.803921568627451,0.823529411764706,0.0392156862745098,0.0294117647058824,0,0,0.666666666666667,0.754901960784314,0.705882352941177,0.784313725490196
"jsd_empirical",0.20343137254902,0.200980392156863,0.115196078431373,0.125,0.66421568627451,0.536764705882353,0.747549019607843,0.698529411764706,0.16421568627451,0.156862745098039,0.0686274509803922,0.071078431372549,0.465686274509804,0.362745098039216,0.553921568627451,0.509803921568627,0.102941176470588,0.0686274509803922,0.00980392156862745,0.00490196078431373,0.252450980392157,0.264705882352941,0.365196078431373,0.338235294117647
"klmean_empirical",0.240196078431373,0.262254901960784,0.137254901960784,0.154411764705882,0.595588235294118,0.433823529411765,0.686274509803922,0.625,0.20343137254902,0.183823529411765,0.0735294117647059,0.0808823529411765,0.318627450980392,0.147058823529412,0.409313725490196,0.316176470588235,0.137254901960784,0.0784313725490196,0.0147058823529412,0.0122549019607843,0.00735294117647059,0.00980392156862745,0.159313725490196,0.100490196078431
"jsd_zinb",0.181372549019608,0.154411764705882,0.100490196078431,0.0759803921568627,0.620098039215686,0.642156862745098,0.727941176470588,0.713235294117647,0.144607843137255,0.125,0.0588235294117647,0.0465686274509804,0.426470588235294,0.426470588235294,0.53921568627451,0.531862745098039,0.0784313725490196,0.0465686274509804,0.017156862745098,0.00490196078431373,0.254901960784314,0.252450980392157,0.350490196078431,0.303921568627451
"klmean_zinb",0.139705882352941,0.132352941176471,0.100490196078431,0.0808823529411765,0.737745098039216,0.686274509803922,0.818627450980392,0.779411764705882,0.127450980392157,0.102941176470588,0.0588235294117647,0.0465686274509804,0.629901960784314,0.588235294117647,0.718137254901961,0.676470588235294,0.0784313725490196,0.0441176470588235,0.017156862745098,0.00735294117647059,0.504901960784314,0.5,0.600490196078431,0.551470588235294
"jsd_direct",0.178921568627451,0.169117647058824,0.127450980392157,0.127450980392157,0.762254901960784,0.708333333333333,0.845588235294118,0.784313725490196,0.151960784313725,0.142156862745098,0.100490196078431,0.0784313725490196,0.549019607843137,0.519607843137255,0.674019607843137,0.612745098039216,0.102941176470588,0.0955882352941176,0.0245098039215686,0.0196078431372549,0.276960784313726,0.281862745098039,0.404411764705882,0.397058823529412
"klmean_direct",0.21078431372549,0.215686274509804,0.166666666666667,0.151960784313725,0.661764705882353,0.629901960784314,0.764705882352941,0.720588235294118,0.186274509803922,0.181372549019608,0.112745098039216,0.100490196078431,0.382352941176471,0.355392156862745,0.519607843137255,0.46078431372549,0.125,0.105392156862745,0.0343137254901961,0.0294117647058824,0.0416666666666667,0.0441176470588235,0.200980392156863,0.178921568627451
