"","sign","moderate","extreme"
"FP_inflation",0.16390931372549,0.129748774509804,0.0707720588235294
"Loose Power",0.0988051470588235,0.0579044117647059,0.0122549019607843
"strange median",0.658854166666667,0.497242647058824,0.340379901960784
"any",0.756740196078431,0.594515931372549,0.423406862745098
