"","p.FP_inflation.sign","ps.FP_inflation.sign","p.Loose.Power.sign","ps.Loose.Power.sign","p.strange.median.sign","ps.strange.median.sign","p.any.sign","ps.any.sign","p.FP_inflation.moderate","ps.FP_inflation.moderate","p.Loose.Power.moderate","ps.Loose.Power.moderate","p.strange.median.moderate","ps.strange.median.moderate","p.any.moderate","ps.any.moderate","p.FP_inflation.extreme","ps.FP_inflation.extreme","p.Loose.Power.extreme","ps.Loose.Power.extreme","p.strange.median.extreme","ps.strange.median.extreme","p.any.extreme","ps.any.extreme"
"DESeq",0.0392156862745098,0.0392156862745098,0.00490196078431373,0.00490196078431373,0.666666666666667,0.666666666666667,0.71078431372549,0.71078431372549,0.0147058823529412,0.0147058823529412,0,0,0.666666666666667,0.666666666666667,0.681372549019608,0.681372549019608,0,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"MAST",0.127450980392157,0.127450980392157,0.053921568627451,0.053921568627451,0.764705882352941,0.764705882352941,0.887254901960784,0.887254901960784,0.0882352941176471,0.0882352941176471,0.0147058823529412,0.0147058823529412,0.725490196078431,0.725490196078431,0.813725490196078,0.813725490196078,0.0343137254901961,0.0343137254901961,0,0,0.71078431372549,0.71078431372549,0.745098039215686,0.745098039215686
"jsd_empirical",0.29656862745098,0.107843137254902,0.17156862745098,0.0686274509803922,0.490196078431373,0.71078431372549,0.659313725490196,0.786764705882353,0.240196078431373,0.0808823529411765,0.110294117647059,0.0294117647058824,0.225490196078431,0.602941176470588,0.401960784313726,0.661764705882353,0.125,0.0465686274509804,0.0147058823529412,0,0.0147058823529412,0.502450980392157,0.154411764705882,0.549019607843137
"klmean_empirical",0.303921568627451,0.198529411764706,0.196078431372549,0.0955882352941176,0.529411764705882,0.5,0.691176470588235,0.620098039215686,0.232843137254902,0.154411764705882,0.117647058823529,0.0367647058823529,0.235294117647059,0.230392156862745,0.411764705882353,0.313725490196078,0.137254901960784,0.0784313725490196,0.0269607843137255,0,0,0.017156862745098,0.16421568627451,0.0955882352941176
"jsd_zinb",0.274509803921569,0.0612745098039216,0.142156862745098,0.0343137254901961,0.450980392156863,0.811274509803922,0.588235294117647,0.852941176470588,0.230392156862745,0.0392156862745098,0.0931372549019608,0.0122549019607843,0.200980392156863,0.651960784313726,0.387254901960784,0.683823529411765,0.107843137254902,0.017156862745098,0.0220588235294118,0,0.00245098039215686,0.504901960784314,0.132352941176471,0.522058823529412
"klmean_zinb",0.272058823529412,0,0.181372549019608,0,0.424019607843137,1,0.598039215686274,1,0.230392156862745,0,0.105392156862745,0,0.218137254901961,1,0.394607843137255,1,0.122549019607843,0,0.0245098039215686,0,0.00490196078431373,1,0.151960784313725,1
"jsd_direct",0.267156862745098,0.0808823529411765,0.191176470588235,0.0637254901960784,0.654411764705882,0.816176470588235,0.762254901960784,0.867647058823529,0.225490196078431,0.0686274509803922,0.137254901960784,0.0416666666666667,0.375,0.693627450980392,0.536764705882353,0.75,0.161764705882353,0.0367647058823529,0.0367647058823529,0.00735294117647059,0.0318627450980392,0.526960784313726,0.230392156862745,0.571078431372549
"klmean_direct",0.267156862745098,0.159313725490196,0.220588235294118,0.0980392156862745,0.639705882352941,0.651960784313726,0.754901960784314,0.730392156862745,0.240196078431373,0.127450980392157,0.154411764705882,0.0588235294117647,0.401960784313726,0.33578431372549,0.563725490196078,0.416666666666667,0.17156862745098,0.0588235294117647,0.0441176470588235,0.0196078431372549,0.0294117647058824,0.0563725490196078,0.245098039215686,0.134803921568627
