"","scvi.FP_inflation.sign","dca.FP_inflation.sign","scvi.Loose.Power.sign","dca.Loose.Power.sign","scvi.strange.median.sign","dca.strange.median.sign","scvi.any.sign","dca.any.sign","scvi.FP_inflation.moderate","dca.FP_inflation.moderate","scvi.Loose.Power.moderate","dca.Loose.Power.moderate","scvi.strange.median.moderate","dca.strange.median.moderate","scvi.any.moderate","dca.any.moderate","scvi.FP_inflation.extreme","dca.FP_inflation.extreme","scvi.Loose.Power.extreme","dca.Loose.Power.extreme","scvi.strange.median.extreme","dca.strange.median.extreme","scvi.any.extreme","dca.any.extreme"
"DESeq",0.0392156862745098,0.0392156862745098,0.00490196078431373,0.00490196078431373,0.666666666666667,0.666666666666667,0.71078431372549,0.71078431372549,0.0147058823529412,0.0147058823529412,0,0,0.666666666666667,0.666666666666667,0.681372549019608,0.681372549019608,0,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"MAST",0.127450980392157,0.127450980392157,0.053921568627451,0.053921568627451,0.764705882352941,0.764705882352941,0.887254901960784,0.887254901960784,0.0882352941176471,0.0882352941176471,0.0147058823529412,0.0147058823529412,0.725490196078431,0.725490196078431,0.813725490196078,0.813725490196078,0.0343137254901961,0.0343137254901961,0,0,0.71078431372549,0.71078431372549,0.745098039215686,0.745098039215686
"jsd_empirical",0.142156862745098,0.262254901960784,0.0857843137254902,0.154411764705882,0.75,0.450980392156863,0.825980392156863,0.620098039215686,0.120098039215686,0.200980392156863,0.0563725490196078,0.0833333333333333,0.602941176470588,0.225490196078431,0.691176470588235,0.372549019607843,0.0637254901960784,0.107843137254902,0.00735294117647059,0.00735294117647059,0.5,0.017156862745098,0.571078431372549,0.132352941176471
"klmean_empirical",0.245098039215686,0.257352941176471,0.156862745098039,0.134803921568627,0.524509803921569,0.504901960784314,0.674019607843137,0.637254901960784,0.191176470588235,0.196078431372549,0.0833333333333333,0.071078431372549,0.223039215686275,0.242647058823529,0.357843137254902,0.367647058823529,0.110294117647059,0.105392156862745,0.0122549019607843,0.0147058823529412,0.00735294117647059,0.00980392156862745,0.129901960784314,0.129901960784314
"jsd_zinb",0.139705882352941,0.196078431372549,0.0637254901960784,0.112745098039216,0.730392156862745,0.531862745098039,0.791666666666667,0.649509803921569,0.115196078431373,0.154411764705882,0.0441176470588235,0.0612745098039216,0.612745098039216,0.240196078431373,0.700980392156863,0.370098039215686,0.0563725490196078,0.0686274509803922,0.0122549019607843,0.00980392156862745,0.502450980392157,0.00490196078431373,0.571078431372549,0.0833333333333333
"klmean_zinb",0.137254901960784,0.134803921568627,0.0857843137254902,0.0955882352941176,0.708333333333333,0.715686274509804,0.794117647058823,0.803921568627451,0.115196078431373,0.115196078431373,0.0514705882352941,0.053921568627451,0.612745098039216,0.605392156862745,0.70343137254902,0.691176470588235,0.0637254901960784,0.0588235294117647,0.0122549019607843,0.0122549019607843,0.504901960784314,0.5,0.580882352941177,0.571078431372549
"jsd_direct",0.132352941176471,0.215686274509804,0.0955882352941176,0.159313725490196,0.845588235294118,0.625,0.892156862745098,0.737745098039216,0.115196078431373,0.178921568627451,0.0686274509803922,0.110294117647059,0.693627450980392,0.375,0.781862745098039,0.504901960784314,0.0833333333333333,0.115196078431373,0.017156862745098,0.0269607843137255,0.517156862745098,0.0416666666666667,0.617647058823529,0.183823529411765
"klmean_direct",0.21078431372549,0.215686274509804,0.156862745098039,0.161764705882353,0.647058823529412,0.644607843137255,0.735294117647059,0.75,0.178921568627451,0.188725490196078,0.102941176470588,0.110294117647059,0.367647058823529,0.370098039215686,0.480392156862745,0.5,0.115196078431373,0.115196078431373,0.0343137254901961,0.0294117647058824,0.0441176470588235,0.0416666666666667,0.193627450980392,0.186274509803922
