"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"jsd_empirical",0,0,0,0,0,0,0,0,0,0,0,0
"klmean_empirical",0.02,0,0,0.02,0,0,0,0,0,0,0,0
"jsd_zinb",0,0,0,0,0,0,0,0,0,0,0,0
"klmean_zinb",0.0326530612244898,0.00204081632653061,0,0.0346938775510204,0,0,0,0,0,0,0,0
"jsd_direct",0.028,0.002,0,0.03,0,0,0,0,0,0,0,0
"klmean_direct",0.104,0.068,0.002,0.166,0.004,0,0,0.004,0,0,0,0
