"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"mean_diff",0.22875,0.18,0.28125,0.54375,0.1475,0.045,0.1025,0.2325,0.05875,0.0075,0.01,0.07625
"var_diff",0.23,0.2175,0.215,0.52875,0.13625,0.04625,0.05375,0.21625,0.0325,0.005,0.00875,0.04625
"disp_diff",0.22875,0.185,0.2225,0.51375,0.13125,0.04875,0.05875,0.21375,0.0275,0.00375,0.0075,0.03875
"mult_diff",0.27125,0.175,0.21875,0.53125,0.14875,0.0425,0.05,0.22125,0.02875,0.00375,0.0075,0.04
"control(FDR)",0.21375,0.11625,0.16375,0.40125,0.125,0.04,0.04875,0.19375,0.03125,0.00375,0.00625,0.04125
