"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"mean_diff",0.0501672240802676,0.0150501672240803,0.00167224080267559,0.0652173913043478,0.00334448160535117,0,0,0.00334448160535117,0,0,0,0
"var_diff",0.0267558528428094,0.0133779264214047,0,0.0367892976588629,0,0,0,0,0,0,0,0
"disp_diff",0.0267558528428094,0.0133779264214047,0,0.0384615384615385,0,0,0,0,0,0,0,0
"mult_diff",0.0267558528428094,0.00668896321070234,0,0.0334448160535117,0,0,0,0,0,0,0,0
"control(FDR)",0.0234113712374582,0.0117056856187291,0,0.0351170568561873,0,0,0,0,0,0,0,0
