"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"mean_diff",0.00835073068893528,0,0,0.00835073068893528,0,0,0,0,0,0,0,0
"var_diff",0.0104384133611691,0.00208768267223382,0,0.0125260960334029,0,0,0,0,0,0,0,0
"disp_diff",0.0146137787056367,0,0,0.0146137787056367,0,0,0,0,0,0,0,0
"mult_diff",0.0292275574112735,0.00208768267223382,0,0.0313152400835073,0,0,0,0,0,0,0,0
"control(FDR)",0.0146137787056367,0,0,0.0146137787056367,0,0,0,0,0,0,0,0
