"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"mean_diff",0.0250417362270451,0.00667779632721202,0,0.0317195325542571,0.00166944908180301,0,0,0.00166944908180301,0,0,0,0
"var_diff",0.0333889816360601,0.011686143572621,0,0.0450751252086811,0.00333889816360601,0,0,0.00333889816360601,0,0,0,0
"disp_diff",0.0350584307178631,0.00834724540901502,0,0.0434056761268781,0.00333889816360601,0,0,0.00333889816360601,0,0,0,0
"mult_diff",0.0233722871452421,0.00500834724540901,0,0.0283806343906511,0.00166944908180301,0,0,0.00166944908180301,0,0,0,0
"control(FDR)",0.0267111853088481,0.00333889816360601,0,0.0300500834724541,0.00166944908180301,0,0,0.00166944908180301,0,0,0,0
