"","FP_inflation.sign","Loose.Power.sign","strange.median.sign","any.sign","FP_inflation.moderate","Loose.Power.moderate","strange.median.moderate","any.moderate","FP_inflation.extreme","Loose.Power.extreme","strange.median.extreme","any.extreme"
"mean_diff",0.225,0.1890625,0.221875,0.509375,0.1265625,0.053125,0.053125,0.2015625,0.03125,0.00625,0.0015625,0.0390625
"var_diff",0.2234375,0.1859375,0.20625,0.490625,0.1203125,0.04375,0.0296875,0.178125,0.034375,0.00625,0.003125,0.04375
"disp_diff",0.2375,0.20625,0.234375,0.5546875,0.14375,0.059375,0.046875,0.225,0.0390625,0.009375,0.0015625,0.05
"mult_diff",0.2375,0.221875,0.29375,0.59375,0.1484375,0.053125,0.071875,0.2234375,0.04375,0.0046875,0.0046875,0.0515625
"control(FDR)",0.2,0.1453125,0.1703125,0.4015625,0.1234375,0.0484375,0.0359375,0.1890625,0.0359375,0.0046875,0,0.040625
