"","mean_diff.FP_inflation.sign","var_diff.FP_inflation.sign","disp_diff.FP_inflation.sign","mult_diff.FP_inflation.sign","control.FDR..FP_inflation.sign","mean_diff.Loose.Power.sign","var_diff.Loose.Power.sign","disp_diff.Loose.Power.sign","mult_diff.Loose.Power.sign","control.FDR..Loose.Power.sign","mean_diff.strange.median.sign","var_diff.strange.median.sign","disp_diff.strange.median.sign","mult_diff.strange.median.sign","control.FDR..strange.median.sign","mean_diff.Total.sign","var_diff.Total.sign","disp_diff.Total.sign","mult_diff.Total.sign","control.FDR..Total.sign","mean_diff.FP_inflation.moderate","var_diff.FP_inflation.moderate","disp_diff.FP_inflation.moderate","mult_diff.FP_inflation.moderate","control.FDR..FP_inflation.moderate","mean_diff.Loose.Power.moderate","var_diff.Loose.Power.moderate","disp_diff.Loose.Power.moderate","mult_diff.Loose.Power.moderate","control.FDR..Loose.Power.moderate","mean_diff.strange.median.moderate","var_diff.strange.median.moderate","disp_diff.strange.median.moderate","mult_diff.strange.median.moderate","control.FDR..strange.median.moderate","mean_diff.Total.moderate","var_diff.Total.moderate","disp_diff.Total.moderate","mult_diff.Total.moderate","control.FDR..Total.moderate","mean_diff.FP_inflation.extreme","var_diff.FP_inflation.extreme","disp_diff.FP_inflation.extreme","mult_diff.FP_inflation.extreme","control.FDR..FP_inflation.extreme","mean_diff.Loose.Power.extreme","var_diff.Loose.Power.extreme","disp_diff.Loose.Power.extreme","mult_diff.Loose.Power.extreme","control.FDR..Loose.Power.extreme","mean_diff.strange.median.extreme","var_diff.strange.median.extreme","disp_diff.strange.median.extreme","mult_diff.strange.median.extreme","control.FDR..strange.median.extreme","mean_diff.Total.extreme","var_diff.Total.extreme","disp_diff.Total.extreme","mult_diff.Total.extreme","control.FDR..Total.extreme"
"DESeq",0.1875,0.1875,0.25,0.25,0.125,0.125,0.1875,0.125,0.3125,0.125,0.125,0.0625,0.1875,0.25,0.0625,0.3125,0.375,0.5,0.75,0.25,0.0625,0.125,0.125,0.0625,0.125,0,0,0,0,0,0,0,0,0,0,0.0625,0.125,0.125,0.0625,0.125,0,0.0625,0.0625,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0,0.0625
"MAST",0.375,0.3,0.3125,0.3,0.2625,0.1625,0.15,0.2625,0.2,0.125,0.15,0.1,0.0875,0.2125,0.0375,0.575,0.475,0.6125,0.5625,0.3875,0.1625,0.1,0.1875,0.225,0.125,0,0,0.025,0.0625,0,0.0125,0.0125,0.0125,0.0375,0,0.1625,0.1,0.2125,0.2875,0.125,0.0375,0.025,0.0375,0.0375,0.025,0,0,0,0,0,0,0,0,0,0,0.0375,0.025,0.0375,0.0375,0.025
"jsd_empirical",0.175,0.125,0.1875,0.2125,0.1375,0.1875,0.0875,0.2,0.2,0.0625,0.1375,0.0875,0.0875,0.1875,0.0125,0.45,0.275,0.4375,0.5,0.2,0.0875,0.0375,0.1125,0.1125,0.075,0,0,0.0125,0.0375,0,0,0,0,0.025,0,0.0875,0.0375,0.125,0.15,0.075,0.0125,0,0.0125,0.0375,0.0125,0,0,0,0,0,0,0,0,0,0,0.0125,0,0.0125,0.0375,0.0125
"klmean_empirical",0.2375,0.25,0.2875,0.275,0.225,0.0875,0.075,0.1,0.1625,0.0375,0.075,0.1,0.125,0.175,0.05,0.3625,0.3375,0.4125,0.425,0.2625,0.125,0.1125,0.1,0.15,0.1,0,0,0.0125,0.0125,0,0,0,0,0.05,0,0.125,0.1125,0.1,0.1625,0.1,0.025,0,0.0125,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0.025,0,0.0125,0.0125,0.0125
"jsd_zinb",0.2375,0.25,0.25,0.225,0.2375,0.175,0.2,0.2,0.2375,0.0875,0.1375,0.0875,0.1875,0.225,0.1,0.45,0.4625,0.5625,0.575,0.3625,0.1375,0.15,0.1625,0.1625,0.15,0.0125,0,0.0125,0.0375,0,0.0125,0,0,0.05,0,0.15,0.15,0.175,0.1875,0.15,0.0125,0.0125,0.025,0.05,0.0125,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0.025,0.05,0.0125
"klmean_zinb",0.1875,0.2,0.1625,0.2125,0.175,0.225,0.1375,0.2,0.2,0.1,0.1625,0.2,0.175,0.2375,0.125,0.4625,0.4625,0.4625,0.4875,0.3375,0.1,0.0875,0.1,0.1375,0.0875,0.025,0.0375,0.05,0.025,0.025,0,0,0.0125,0.05,0,0.125,0.125,0.1625,0.175,0.1125,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0
"jsd_direct",0.175,0.2375,0.225,0.25,0.2125,0.2625,0.3,0.2375,0.2,0.2875,0.5875,0.5375,0.5625,0.625,0.5625,0.7625,0.7625,0.7125,0.7875,0.7,0.1625,0.15,0.175,0.1875,0.15,0.1875,0.1125,0.1625,0.0875,0.1625,0.225,0.125,0.1875,0.225,0.15,0.45,0.3125,0.4,0.3875,0.375,0.075,0.0875,0.075,0.1125,0.0875,0.0125,0.0125,0.025,0.0125,0.0125,0,0,0,0.0125,0,0.0875,0.1,0.1,0.125,0.1
"klmean_direct",0.225,0.2375,0.225,0.175,0.225,0.2875,0.35,0.325,0.2625,0.3375,0.4,0.475,0.4625,0.4375,0.4125,0.7,0.775,0.7375,0.6625,0.7125,0.175,0.2,0.1875,0.15,0.175,0.2,0.2,0.2,0.1625,0.2,0.175,0.1,0.1625,0.1375,0.1375,0.45,0.4625,0.5,0.375,0.45,0.0875,0.0875,0.0875,0.0625,0.075,0.0375,0.0375,0.05,0.025,0.025,0.0125,0.025,0.0125,0.025,0,0.1375,0.15,0.15,0.1125,0.1
